mysql-error	mysql-error-1005,mysql-error-1007,mysql-error-1025,mysql-error-1030,mysql-error-1040,mysql-error-1044,mysql-error-1045,mysql-error-1046,mysql-error-1049,mysql-error-1050,mysql-error-1051,mysql-error-1052,mysql-error-1054,mysql-error-1060,mysql-error-1062,mysql-error-1064,mysql-error-1065,mysql-error-1066,mysql-error-1067,mysql-error-1071,mysql-error-1075,mysql-error-1091,mysql-error-1093,mysql-error-1111,mysql-error-1130,mysql-error-1136,mysql-error-1138,mysql-error-1140,mysql-error-1142,mysql-error-1146,mysql-error-1170,mysql-error-1193,mysql-error-1205,mysql-error-1214,mysql-error-1222,mysql-error-1235,mysql-error-1241,mysql-error-1242,mysql-error-1248,mysql-error-1253,mysql-error-126,mysql-error-1264,mysql-error-1267,mysql-error-1292,mysql-error-1293,mysql-error-1312,mysql-error-1327,mysql-error-1349,mysql-error-1364,mysql-error-1415,mysql-error-1416,mysql-error-1442,mysql-error-1451,mysql-error-1452,mysql-error-150,mysql-error-1630,mysql-error-2002,mysql-error-2003,mysql-error-2006,mysql-error-2013
libusb	libusb-1.0
windows-embedded	windows-embedded-8,windows-embedded-8.1
blackberry	blackberry-10,blackberry-5,blackberry-9800
meteor-collection	meteor-collection2
cloud	cloud66
wix	wix2,wix3,wix3.10,wix3.5,wix3.6,wix3.7,wix3.8,wix3.9,wix4
asn.	asn.1
xpath	xpath-1.0,xpath-2.0,xpath-3.0
.net	.net-1.0,.net-1.1,.net-2.0,.net-3.0,.net-3.5,.net-4.0,.net-4.0-beta-2,.net-4.5,.net-4.5.2,.net-4.5.3,.net-4.6,.net-5.0
jwplayer	jwplayer6
unreal-engine	unreal-engine4
msbuild	msbuild-4.0
teamcity	teamcity-4,teamcity-5.0,teamcity-5.1,teamcity-6,teamcity-7.0,teamcity-7.1,teamcity-8.0,teamcity-9.0,teamcity-9.1
facebook-sdk	facebook-sdk-3.0,facebook-sdk-3.1,facebook-sdk-3.14.x,facebook-sdk-4.0,facebook-sdk-4.x
delphi	delphi-2005,delphi-2006,delphi-2007,delphi-2009,delphi-2010,delphi-3,delphi-4,delphi-5,delphi-6,delphi-7
msp	msp430
cognos-tm	cognos-tm1
live	live555
rebol	rebol2,rebol3
music	music21
rhel	rhel5,rhel6,rhel7
typo3	typo3-4.5,typo3-6.1.x,typo3-6.2.x,typo3-7.1.x,typo3-7.2.x,typo3-7.x
visio	visio2013
palm-pre	palm-pre2
entity-framework-ctp	entity-framework-ctp5
visual-studio-exp	visual-studio-exp-2013
kdiff	kdiff3
tridion	tridion-2011
series	series-40
jpa	jpa-1.0,jpa-2.0,jpa-2.1
moto	moto-360
android-ndk-r	android-ndk-r4,android-ndk-r5,android-ndk-r7
pic	pic18,pic24,pic32
ibm-db	ibm-db2
icefaces	icefaces-1.8,icefaces-2,icefaces-3
tinyxml	tinyxml2
webkit	webkit2
roxygen	roxygen2
iec	iec10967,iec61131-3
ean	ean-13
md	md5
plone	plone-3.x,plone-4.x,plone-5.x
lync-server	lync-server-2010,lync-server-2013
jdk	jdk1.4,jdk1.5,jdk1.6,jdk1.7,jdk6,jdk9
avm	avm2
mm	mm7
pls	pls-00103,pls-00323,pls-00403,pls-00428
node-orm	node-orm2
junit	junit3,junit4
primer	primer3
mt	mt4,mt940
cordova-win	cordova-win10
pyasn	pyasn1
mp	mp3,mp4
ms	ms11-100
atmega	atmega16
cortex-m	cortex-m3
soundmanager	soundmanager2
spring-security-oauth	spring-security-oauth2
.net-cf	.net-cf-3.5
sqlite	sqlite2,sqlite3
nexus	nexus6
maximage	maximage2
sorenson	sorenson-360
imlib	imlib2
allegro	allegro5
carrot	carrot2
magento	magento2
mod-perl	mod-perl2
autopep	autopep8
msvc	msvc12
plan	plan-9
mpeg	mpeg-2,mpeg-4
sharepointfoundation	sharepointfoundation2010
axis	axis2
gcc	gcc3,gcc4,gcc4.4,gcc4.5,gcc4.6,gcc4.7,gcc4.8,gcc4.9,gcc5
wsdl	wsdl-2.0
sybase-ase	sybase-ase15
jscript	jscript-10
pkcs#	pkcs#1,pkcs#10,pkcs#11,pkcs#12,pkcs#15,pkcs#5,pkcs#8
hol	hol4
dagger	dagger-2
pyqt	pyqt4,pyqt5
win-phone-silverlight	win-phone-silverlight-8.1
sdi	sdi-12
msinfo	msinfo32
iso	iso8583,iso8601,iso9660
xhtml	xhtml2
sio	sio2
winsock	winsock2
sim	sim900
durandal	durandal-2.0
spring-webflow	spring-webflow-2
dialect	dialect2
phonegap	phonegap-4.0.0
phpdocumentor	phpdocumentor2
atan	atan2
fw	fw1
msde	msde2000
boost-signals	boost-signals2
django	django-1.1,django-1.2,django-1.3,django-1.4,django-1.5,django-1.6,django-1.7,django-1.8,django-1.9
fb	fb2
uint	uint16,uint32,uint64
pop	pop-11
uglifyjs	uglifyjs2
rubymine	rubymine-7
restlet	restlet-2.0
acid	acid3
ss	ss7
bind	bind9
proto	proto3
firefox	firefox-10,firefox-12,firefox-16,firefox-22,firefox-3,firefox-5,firefox-8,firefox-9
lockbox	lockbox-2,lockbox-3
capistrano	capistrano3
content-porter	content-porter-2009
structuremap	structuremap3
asc	asc2
android-x	android-x86
coldfusion	coldfusion-10,coldfusion-11,coldfusion-6,coldfusion-7,coldfusion-8,coldfusion-9
dojo	dojo1.4
powershell	powershell-4.0
eigen	eigen3
office	office365
openflashchart	openflashchart2
django-wysihtml	django-wysihtml5
aws-sdk-v	aws-sdk-v2
quake	quake2
ios	ios-3.x,ios-4.2,ios-9-beta3
intraweb	intraweb-10
asp.net-identity	asp.net-identity-2,asp.net-identity-3
ima	ima4
firebird	firebird-3.0
lc	lc3
sonarqube	sonarqube5.1
gtk	gtk1.2,gtk2,gtk3
tis	tis-100
postgresql	postgresql-8.0,postgresql-8.1,postgresql-8.2,postgresql-8.3,postgresql-8.4,postgresql-9.0,postgresql-9.1,postgresql-9.2,postgresql-9.3,postgresql-9.4,postgresql-9.5
lr	lr1
icmpsendecho	icmpsendecho2
giter	giter8
virtual-pc	virtual-pc-2007
fancybox	fancybox-2
lz	lz4,lz77
opengl-es	opengl-es-1.1,opengl-es-2.0,opengl-es-3.0,opengl-es-3.1
clr	clr4.0
flex	flex2,flex3,flex4,flex4.10,flex4.5,flex4.6,flex4.7
typescript	typescript1.4,typescript1.5,typescript1.6
gcw	gcw0
pygit	pygit2
razor	razor-2,razor-3
visual-c++	visual-c++-11,visual-c++-2005,visual-c++-2008,visual-c++-2010,visual-c++-2012,visual-c++-2013
powershell	powershell-v1.0,powershell-v2.0,powershell-v3.0,powershell-v4.0,powershell-v5.0
auth	auth0
zeroclipboard	zeroclipboard-1.x
interbase	interbase-2009
framework	framework3.5,framework7
android	android-3.1,android-3.2,android-4.0
umbraco	umbraco4,umbraco5,umbraco6,umbraco7
safari	safari6,safari7,safari8
boost-spirit-x	boost-spirit-x3
echo	echo2,echo3
pyexiv	pyexiv2
vugen	vugen-12.02
qt	qt3,qt4,qt4.6,qt4.7,qt4.8,qt5,qt5.1,qt5.2,qt5.3,qt5.4,qt5.5
excel	excel-2000,excel-2002,excel-2003,excel-2007,excel-2008,excel-2010,excel-2011,excel-2013,excel-97
execute	execute360
mod-security	mod-security2
ipcopen	ipcopen3
tridion	tridion2009
rails	rails-3.0.10,rails-3.1,rails-4-2-1
nservicebus	nservicebus3,nservicebus4,nservicebus5
blender	blender-2.49,blender-2.50,blender-2.61,blender-2.67
guzzle	guzzle3,guzzle6
android-maps-v	android-maps-v2
flex-builder	flex-builder-3
appcompat-v	appcompat-v7-r21,appcompat-v7-r22.1,appcompat-v7-r22.2
dagre-d	dagre-d3
youtube-data-api-v	youtube-data-api-v3
sencha-cmd	sencha-cmd5
ksoap	ksoap2
flexunit	flexunit4
mdb	mdb2
ed	ed25519
google-oauth	google-oauth2
base	base-60
swagger	swagger-2.0
cocoalibspotify	cocoalibspotify-2.0
jsr	jsr-275
year	year2038
mongoid	mongoid2,mongoid3,mongoid4
mysql	mysql-5.0,mysql-5.1,mysql-5.5,mysql-5.6,mysql-5.7
es	es2015
subsonic-v	subsonic-v3p2
fts	fts3,fts4
rs	rs485
open	open4
reporting-services	ssrs-2000,ssrs-2008,ssrs-2008-r2,ssrs-2012,ssrs-2014
angular	angular2
re	re2
socket.io	socket.io-1.0
expression-encoder	expression-encoder-4
nmock	nmock-2.1
red	red5
workflow-manager	workflow-manager-1.x
ibm-rad	ibm-rad-7.5
exchange-server	exchange-server-2003,exchange-server-2007,exchange-server-2010,exchange-server-2013
ios	ios3.0,ios32,ios4,ios5,ios5.1,ios6,ios6.0,ios6.1,ios7,ios7.1,ios8,ios8.1,ios8.2,ios8.3,ios8.4,ios9
prism	prism-2,prism-4,prism-5
symbian	symbian3
indy	indy-9
base	base32,base36,base62,base64,base85
webmatrix	webmatrix-2,webmatrix-3
xhtml	xhtml-1.1
android-sdk	android-sdk-1.6,android-sdk-2.1,android-sdk-2.3
angularjs-select	angularjs-select2
f#	f#-3.0,f#-3.1
mmc	mmc3
fabric	fabric8
nokia-s	nokia-s40
ckeditor	ckeditor4.x
actionscript	actionscript-1,actionscript-2,actionscript-3
geolite	geolite2
atk	atk4
yui	yui2,yui3
matlab-hg	matlab-hg2
ds	ds-5
elasticsearch	elasticsearch1.3.2
zend-form	zend-form2
sdl	sdl-1.2,sdl-2
flash-cs	flash-cs3,flash-cs4,flash-cs5,flash-cs5.5,flash-cs6
nokia-n	nokia-n8
mingw-w	mingw-w64
xml	xml-1.1
ipad	ipad-2,ipad-3
help-viewer	help-viewer-1.0
xc	xc16,xc8
gy	gy-521
rundll	rundll32
processador-p	processador-p3
fms	fms3
ilink	ilink64
control-p	control-p5
mingw	mingw32,mingw64
cltl	cltl2
kohana	kohana-2,kohana-3,kohana-3.0,kohana-3.2,kohana-3.3
sapui	sapui5
xv	xv6
google-analytics-v	google-analytics-v4
vsts	vsts2005,vsts2008,vsts2010
jquery-select	jquery-select2,jquery-select2-3,jquery-select2-4
struts	struts1,struts2
yii	yii2
system	system2,system32
